Term	g	Prefix	Level (cm-1)	Suffix
"2S"	2	""	"0.0000"	""	
"2P*"	2	"("	"2963878.2865"	")"	
"2S"	2	"("	"2963904.3682"	")"	
"2P*"	4	"("	"2964353.25787"	")"	
"2P*"	2	"("	"3512921.8585"	")"	
"2S"	2	"("	"3512929.6430"	")"	
"2D"	4	"("	"3513062.35914"	")"	
"2P*"	4	"("	"3513062.5938"	")"	
"2D"	6	"("	"3513109.23022"	")"	
"2P*"	2	"("	"3705067.7966"	")"	
"2S"	2	"("	"3705071.0906"	")"	
"2D"	4	"("	"3705127.0668"	")"	
"2P*"	4	"("	"3705127.1670"	")"	
"2F*"	6	"("	"3705146.8056"	")"	
"2D"	6	"("	"3705146.8413"	")"	
"2F*"	8	"("	"3705156.6907"	")"	
"2P*"	2	"("	"3793995.6723"	")"	
"2S"	2	"("	"3793997.3614"	")"	
"2D"	4	"("	"3794026.0169"	")"	
"2P*"	4	"("	"3794026.06860"	")"	
"2F*"	6	"("	"3794036.1231"	")"	
"2D"	6	"("	"3794036.1415"	")"	
"2G"	8	"("	"3794041.17482"	")"	
"2F*"	8	"("	"3794041.1844"	")"	
"2G"	10	"("	"3794044.21132"	")"	
"2P*"	2	"("	"3842298.73212"	")"	
"2S"	2	"("	"3842299.7104"	")"	
"2D"	4	"("	"3842316.2917"	")"	
"2P*"	4	"("	"3842316.32191"	")"	
"2F*"	6	"("	"3842322.14011"	")"	
"2D"	6	"("	"3842322.1508"	")"	
"2G"	8	"("	"3842325.06357"	")"	
"2F*"	8	"("	"3842325.06911"	")"	
"2H*"	10	"("	"3842326.817395"	")"	
"2G"	10	"("	"3842326.82083"	")"	
"2H*"	12	"("	"3842327.988855"	")"	
"2P*"	2	"("	"3871422.36198"	")"	
"2S"	2	"("	"3871422.97834"	")"	
"2D"	4	"("	"3871433.41948"	")"	
"2P*"	4	"("	"3871433.43858"	")"	
"2F*"	6	"("	"3871437.10238"	")"	
"2D"	6	"("	"3871437.10908"	")"	
"2G"	8	"("	"3871438.94337"	")"	
"2F*"	8	"("	"3871438.94688"	")"	
"2H*"	10	"("	"3871440.047810"	")"	
"2G"	10	"("	"3871440.04998"	")"	
"2I"	12	"("	"3871440.784047"	")"	
"2H*"	12	"("	"3871440.785530"	")"	
"2I"	14	"("	"3871441.310973"	")"	
"2P*"	2	"("	"3890323.90873"	")"	
"2S"	2	"("	"3890324.32184"	")"	
"2D"	4	"("	"3890331.31613"	")"	
"2P*"	4	"("	"3890331.32903"	")"	
"2F*"	6	"("	"3890333.78343"	")"	
"2D"	6	"("	"3890333.78793"	")"	
"2G"	8	"("	"3890335.01674"	")"	
"2F*"	8	"("	"3890335.01913"	")"	
"2H*"	10	"("	"3890335.756633"	")"	
"2G"	10	"("	"3890335.75809"	")"	
"2I"	12	"("	"3890336.249854"	")"	
"2H*"	12	"("	"3890336.250843"	")"	
"2K*"	14	"("	"3890336.6021343"	")"	
"2I"	14	"("	"3890336.602855"	")"	
"2K*"	16	"("	"3890336.8668802"	")"	
"2P*"	2	"("	"3903282.30280"	")"	
"2S"	2	"("	"3903282.59300"	")"	
"2D"	4	"("	"3903287.50520"	")"	
"2P*"	4	"("	"3903287.51420"	")"	
"2F*"	6	"("	"3903289.23800"	")"	
"2D"	6	"("	"3903289.24120"	")"	
"2G"	8	"("	"3903290.10417"	")"	
"2F*"	8	"("	"3903290.10580"	")"	
"2H*"	10	"("	"3903290.623815"	")"	
"2G"	10	"("	"3903290.62484"	")"	
"2I"	12	"("	"3903290.970215"	")"	
"2H*"	12	"("	"3903290.970915"	")"	
"2K*"	14	"("	"3903291.217632"	")"	
"2I"	14	"("	"3903291.218140"	")"	
"2L"	16	"("	"3903291.4031884"	")"	
"2K*"	16	"("	"3903291.403573"	")"	
"2L"	18	"("	"3903291.5478074"	")"	
