Term	g	Prefix	Level (cm-1)	Suffix
"2P*"	2	"("	"3912551.10631"	")"	
"2S"	2	"("	"3912551.31788"	")"	
"2D"	4	"("	"3912554.89873"	")"	
"2P*"	4	"("	"3912554.90535"	")"	
"2F*"	6	"("	"3912556.16193"	")"	
"2D"	6	"("	"3912556.16426"	")"	
"2G"	8	"("	"3912556.79338"	")"	
"2F*"	8	"("	"3912556.79460"	")"	
"2H*"	10	"("	"3912557.172205"	")"	
"2G"	10	"("	"3912557.17296"	")"	
"2I"	12	"("	"3912557.424731"	")"	
"2H*"	12	"("	"3912557.425245"	")"	
"2K*"	14	"("	"3912557.605098"	")"	
"2I"	14	"("	"3912557.605468"	")"	
"2L"	16	"("	"3912557.7403683"	")"	
"2K*"	16	"("	"3912557.740649"	")"	
"2M*"	18	"("	"3912557.8455748"	")"	
"2L"	18	"("	"3912557.8457953"	")"	
"2M*"	20	"("	"3912557.9299163"	")"	
"2P*"	2	"("	"3919408.81299"	")"	
"2S"	2	"("	"3919408.97197"	")"	
"2D"	4	"("	"3919411.66224"	")"	
"2P*"	4	"("	"3919411.66723"	")"	
"2F*"	6	"("	"3919412.61130"	")"	
"2D"	6	"("	"3919412.61304"	")"	
"2G"	8	"("	"3919413.08571"	")"	
"2F*"	8	"("	"3919413.08662"	")"	
"2H*"	10	"("	"3919413.370329"	")"	
"2G"	10	"("	"3919413.37089"	")"	
"2I"	12	"("	"3919413.560054"	")"	
"2H*"	12	"("	"3919413.640439"	")"	
"2K*"	14	"("	"3919413.695567"	")"	
"2I"	14	"("	"3919413.695845"	")"	
"2L"	16	"("	"3919413.7971974"	")"	
"2K*"	16	"("	"3919413.797408"	")"	
"2M*"	18	"("	"3919413.8762408"	")"	
"2L"	18	"("	"3919413.8764064"	")"	
"2N"	20	"("	"3919413.9394738"	")"	
"2M*"	20	"("	"3919413.9396078"	")"	
"2N"	22	"("	"3919413.9913194"	")"	
"2P*"	2	"("	"3924624.55887"	")"	
"2S"	2	"("	"3924624.68133"	")"	
"2O*"	24	"("	"3924628.58065606"	")"	
"2P*"	2	"("	"3928683.56747"	")"	
"2S"	2	"("	"3928683.66380"	")"	
"2Q"	26	"("	"3928686.75277115"	")"	
"2P*"	2	"("	"3931904.21980"	")"	
"2S"	2	"("	"3931904.296930"	")"	
"2R*"	28	"("	"3931906.78527341"	")"	
"2P*"	2	"("	"3934502.44485"	")"	
"2S"	2	"("	"3934502.507570"	")"	
"2T"	30	"("	"3934504.54134941"	")"	
"2P*"	2	"("	"3936628.87797"	")"	
"2S"	2	"("	"3936628.929649"	")"	
"2U*"	32	"("	"3936630.61312706"	")"	
"2P*"	2	"("	"3938391.196301"	")"	
"2S"	2	"("	"3938391.239390"	")"	
"2V"	34	"("	"3938392.64856702"	")"	
"2P*"	2	"("	"3939868.023164"	")"	
"2S"	2	"("	"3939868.059470"	")"	
"2W*"	36	"("	"3939869.25082495"	")"	
"2P*"	2	"("	"3941117.851781"	")"	
"2S"	2	"("	"3941117.882645"	")"	
"2X"	38	"("	"3941118.89884428"	")"	
"2P*"	2	"("	"3942184.927541"	")"	
"2S"	2	"("	"3942184.954009"	")"	
"2Y*"	40	"("	"3942185.82775889"	")"	
"Limit"		"("	"3952061.7464"	")"	
