Term	g	Prefix	Level (cm-1)	Suffix
"1S"	1	""	"0.00"	""	
"3S"	3	"("	"2411292.798"	")"	
"1S"	1	"("	"2455052.913"	")"	
"3P*"	3	"("	"2455179.0754"	")"	
"3P*"	1	"("	"2455191.5845"	")"	
"3P*"	5	"("	"2455314.8725"	")"	
"1P*"	3	"("	"2483400.8420"	")"	
"3S"	3	"("	"2839589.7"	")"	
"1S"	1	"("	"2851173.0"	")"	
"3P*"	3	"("	"2851424.3"	")"	
"3P*"	1	"("	"2851425.7"	")"	
"3P*"	5	"("	"2851464.4"	")"	
"3D"	3	"("	"2857323.6"	")"	
"3D"	5	"("	"2857324.5"	")"	
"3D"	7	"("	"2857335.9"	")"	
"1D"	5	"("	"2857555.6"	")"	
"1P*"	3	"("	"2859389.2"	")"	
"3S"	3	"("	"2983556.8"	")"	
"1S"	1	"("	"2988241.7"	")"	
"3P*"	3	"("	"2988381.9"	")"	
"3P*"	1	"("	"2988382.2"	")"	
"3P*"	5	"("	"2988398.8"	")"	
"3D"	3	"("	"2990814.4"	")"	
"3D"	5	"("	"2990815.4"	")"	
"3D"	7	"("	"2990819.2"	")"	
"1D"	5	"("	"2990941.6"	")"	
"3F*"	7	"("	"2990941.7"	")"	
"3F*"	5	"("	"2990943.1"	")"	
"3F*"	9	"("	"2990945.5"	")"	
"1F*"	7	"("	"2990947.7"	")"	
"1P*"	3	"("	"2991677.3"	")"	
"3S"	3	"("	"3048945.7"	")"	
"1S"	1	"("	"3051294.2"	")"	
"3P*"	1	"("	"3051374.0"	")"	
"3P*"	3	"("	"3051374.0"	")"	
"3P*"	5	"("	"3051382.6"	")"	
"3D"	5	"("	"3052604.9"	")"	
"3D"	3	"("	"3052605.1"	")"	
"3D"	7	"("	"3052606.2"	")"	
"1D"	5	"("	"3052674.3"	")"	
"3F*"	7	"("	"3052680.6"	")"	
"3F*"	5	"("	"3052681.0"	")"	
"1F*"	7	"("	"3052681.9"	")"	
"3F*"	9	"("	"3052681.9"	")"	
"3G"	9	"("	"3052685.9"	")"	
"3G"	7	"("	"3052686.6"	")"	
"3G"	11	"("	"3052686.7"	")"	
"1G"	9	"("	"3052686.9"	")"	
"1P*"	3	"("	"3053045.1"	")"	
"3S"	3	"("	"3084069.3"	")"	
"1S"	1	"("	"3085411.4"	")"	
"3P*"	1	"("	"3085460.3"	")"	
"3P*"	3	"("	"3085460.3"	")"	
"3P*"	5	"("	"3085465.3"	")"	
"3D"	3	"("	"3086166.8"	")"	
"3D"	5	"("	"3086167.0"	")"	
"3D"	7	"("	"3086167.7"	")"	
"1D"	5	"("	"3086198.3"	")"	
"3F*"	7	"("	"3086213.4"	")"	
"3F*"	5	"("	"3086213.7"	")"	
"1F*"	7	"("	"3086214.0"	")"	
"3F*"	9	"("	"3086214.2"	")"	
"3G"	9	"("	"3086216.3"	")"	
"3G"	7	"("	"3086216.6"	")"	
"3G"	11	"("	"3086216.9"	")"	
"1G"	9	"("	"3086217.0"	")"	
"3H*"	11	"("	"3086219.2"	")"	
"3H*"	9	"("	"3086219.3"	")"	
"3H*"	13	"("	"3086219.5"	")"	
"1H*"	11	"("	"3086219.7"	")"	
"1P*"	3	"("	"3086422.1"	")"	
"3S"	3	"("	"3105089.6"	")"	
"1S"	1	"("	"3105927.5"	")"	
"3P*"	1	"("	"3105959.7"	")"	
"3P*"	3	"("	"3105959.7"	")"	
"3P*"	5	"("	"3105962.8"	")"	
"3D"	3	"("	"3106403.4"	")"	
"3D"	5	"("	"3106403.5"	")"	
"3D"	7	"("	"3106404.0"	")"	
"1D"	5	"("	"3106428.4"	")"	
"1G"	9	"("	"3106435.2"	")"	
"3G"	7	"("	"3106435.2"	")"	
"3G"	9	"("	"3106435.2"	")"	
"3G"	11	"("	"3106435.2"	")"	
"1H*"	11	"("	"3106437.2"	")"	
"3H*"	9	"("	"3106437.2"	")"	
"3H*"	11	"("	"3106437.2"	")"	
"3H*"	13	"("	"3106437.2"	")"	
"1I"	13	"("	"3106437.5"	")"	
"3I"	11	"("	"3106437.5"	")"	
"3I"	13	"("	"3106437.5"	")"	
"3I"	15	"("	"3106437.5"	")"	
"1P*"	3	"("	"3106563.2"	")"	
"3S"	3	"("	"3118659.6"	")"	
"1S"	1	"("	"3119218.4"	")"	
"3P*"	1	"("	"3119239.8"	")"	
"3P*"	3	"("	"3119239.8"	")"	
"3P*"	5	"("	"3119241.9"	")"	
"3D"	3	"("	"3119536.0"	")"	
"3D"	5	"("	"3119536.1"	")"	
"3D"	7	"("	"3119536.4"	")"	
"1D"	5	"("	"3119553.0"	")"	
"1H*"	11	"("	"3119559.0"	")"	
"3H*"	9	"("	"3119559.0"	")"	
"3H*"	13	"("	"3119559.0"	")"	
"3H*"	11	"("	"3119559.0"	")"	
"1I"	13	"("	"3119559.3"	")"	
"3I"	11	"("	"3119559.3"	")"	
"3I"	13	"("	"3119559.3"	")"	
"3I"	15	"("	"3119559.3"	")"	
"1P*"	3	"("	"3119643.1"	")"	
"3S"	3	"("	"3127925.3"	")"	
"1S"	1	"("	"3128316.1"	")"	
"3P*"	1	"("	"3128331.3"	")"	
"3P*"	3	"("	"3128331.4"	")"	
"3P*"	5	"("	"3128332.8"	")"	
"3D"	3	"("	"3128539.0"	")"	
"3D"	5	"("	"3128539.0"	")"	
"3D"	7	"("	"3128539.2"	")"	
"1D"	5	"("	"3128551.0"	")"	
"1P*"	3	"("	"3128614.2"	")"	
"3S"	3	"("	"3134532.0"	")"	
"1S"	1	"("	"3134816.0"	")"	
"3P*"	1	"("	"3134827.2"	")"	
"3P*"	3	"("	"3134827.2"	")"	
"3P*"	5	"("	"3134828.2"	")"	
"3D"	3	"("	"3134978.3"	")"	
"3D"	5	"("	"3134978.3"	")"	
"3D"	7	"("	"3134978.5"	")"	
"1D"	5	"("	"3134987.1"	")"	
"1P*"	3	"("	"3135033.1"	")"	
"Limit"		"("	"3162423.60"	")"	
"1S"	1	"("	"5294200"	")"	
"3P*"	1	"("	"5307100"	")"	
"3P*"	3	"("	"5307200"	")"	
"3P*"	5	"("	"5307500"	")"	
"3P"	1	"("	"5346000"	")"	
"3P"	3	"("	"5346100"	")"	
"3P"	5	"("	"5346300"	")"	
"1D"	5	"("	"5364200"	")"	
