Term	g	Prefix	Level (cm-1)	Suffix
"1P*"	3	"("	"5369500"	")"	
"1S"	1	"("	"5434100"	")"	
"3D"	3	"("	"5788700"	")"	
"3D"	5	"("	"5788900"	")"	
"3D"	7	"("	"5789100"	")"	
"3P*"	1	"("	"5791700"	")"	
"3P*"	3	"("	"5791800"	")"	
"3P*"	5	"("	"5792000"	")"	
"3P"	1	"("	"5806300"	")"	
"3P"	3	"("	"5806400"	")"	
"3P"	5	"("	"5806500"	")"	
"1D"	5	"("	"5807100"	")"	
"1P*"	3	"("	"5815100"	")"	
"3D*"	3	"("	"5815400"	")"	
"3D*"	5	"("	"5815400"	")"	
"3D*"	7	"("	"5815500"	")"	
