Term	g	Prefix	Level (cm-1)	Suffix
"3G"	11	""	"365998.4"	""	
"1D"	5	""	"366028"	""	
"3F*"	5	""	"366069.0"	""	
"3F*"	7	""	"366069.0"	""	
"3F*"	9	""	"366069.0"	""	
"1P*"	3	""	"369926"	""	
"3D"	3	""	"370499"	""	
"3D"	5	""	"370499"	""	
"3D"	7	""	"370499"	""	
"3D"	3	""	"373828"	""	
"3D"	5	""	"373828"	""	
"3D"	7	""	"373828"	""	
"3P*"	1	""	"376278.1"	""	
"3P*"	3	""	"376299.2"	""	
"3P*"	5	""	"376403.6"	""	
"1P"	3	""	"381105.4"	""	
"3D"	3	""	"381950"	""	
"3D"	5	""	"381971"	""	
"3D"	7	""	"382010"	""	
"3P"	1	""	"384345"	""	
"3P"	3	""	"384365"	""	
"3P"	5	""	"384405.4"	""	
"1D"	5	""	"385638.1"	""	
"1D*"	5	""	"385817.2"	""	
"3F*"	5	""	"385826"	"+x"	
"3F*"	7	""	"385826"	"+x"	
"3F*"	9	""	"385826"	"+x"	
"Limit"		""	"386241.0"	""	
"3D*"	3	""	"387697"	""	
"3D*"	5	""	"387697"	""	
"3D*"	7	""	"387697"	""	
"3G"	7	""	"388125"	"+y"	
"3G"	9	""	"388125"	"+y"	
"3G"	11	""	"388125"	"+y"	
"3F"	5	""	"388172"	""	
"3F"	7	""	"388184"	""	
"3F"	9	""	"388214.4"	""	
"3P*"	1	""	"388493"	""	
"3P*"	3	""	"388493"	""	
"3P*"	5	""	"388493"	""	
"1F*"	7	""	"388773"	""	
"3D"	7	""	"389668.3"	""	
"3D"	5	""	"389721.5"	""	
"3D"	3	""	"389735.8"	""	
"1P"	3	""	"407431"	""	
"3D"	3	""	"407826"	""	
"3D"	5	""	"407826"	""	
"3D"	7	""	"407826"	""	
"3P"	1	""	"408925"	""	
"3P"	3	""	"408925"	""	
"3P"	5	""	"408925"	""	
"1D"	5	""	"409506"	""	
"1D*"	5	""	"409683"	""	
"3D*"	3	""	"410585"	""	
"3D*"	5	""	"410585"	""	
"3D*"	7	""	"410585"	""	
"3G"	7	""	"410819"	"+x"	
"3G"	9	""	"410819"	"+x"	
"3G"	11	""	"410819"	"+x"	
"3F"	5	""	"410863"	""	
"3F"	7	""	"410863"	""	
"3F"	9	""	"410863"	""	
"3P*"	1	""	"410892"	""	
"3P*"	3	""	"410892"	""	
"3P*"	5	""	"410892"	""	
"3H*"	9	""	"411060"	"+x"	
"3H*"	11	""	"411060"	"+x"	
"3H*"	13	""	"411060"	"+x"	
"3G*"	7	""	"411104"	""	
"3G*"	9	""	"411104"	""	
"3G*"	11	""	"411104.4"	""	
"3F*"	5	""	"411433.0"	""	
"3F*"	7	""	"411433.0"	""	
"3F*"	9	""	"411433.1"	""	
"3D"	3	""	"421432"	""	
"3D"	5	""	"421432"	""	
"3D"	7	""	"421432"	""	
"3P"	1	""	"422019"	""	
"3P"	3	""	"422019"	""	
"3P"	5	""	"422019"	""	
"3D*"	3	""	"422932"	""	
"3D*"	5	""	"422932"	""	
"3D*"	7	""	"422932"	""	
"3P*"	1	""	"423109"	""	
"3P*"	3	""	"423109"	""	
"3P*"	5	""	"423109"	""	
"3G*"	7	""	"423198.6"	""	
"3G*"	9	""	"423216.6"	""	
"3G*"	11	""	"423253.3"	""	
"3D"	3	""	"429397"	""	
"3D"	5	""	"429397"	""	
"3D"	7	""	"429397"	""	
"3P"	1	""	"429764"	""	
"3P"	3	""	"429764"	""	
"3P"	5	""	"429764"	""	
