Term	g	Prefix	Level (cm-1)	Suffix
"1S"	1	""	"0.00"	""	
"3P*"	1	""	"52367.06"	""	
"3P*"	3	""	"52390.75"	""	
"3P*"	5	""	"52447.11"	""	
"1P*"	3	""	"102352.04"	""	
"3P"	1	""	"137425.70"	""	
"3P"	3	""	"137454.40"	""	
"3P"	5	""	"137502.01"	""	
"1D"	5	""	"145876.13"	""	
"1S"	1	""	"182519.88"	""	
"3S"	3	""	"238213.00"	""	
"1S"	1	""	"247170.26"	""	
"1P*"	3	""	"258931.29"	""	
"3P*"	1	""	"259705.55"	""	
"3P*"	3	""	"259711.22"	""	
"3P*"	5	""	"259724.30"	""	
"3D"	3	""	"270010.83"	""	
"3D"	5	""	"270011.93"	""	
"3D"	7	""	"270014.74"	""	
"1D"	5	""	"276482.86"	""	
"3P*"	1	""	"308216.58"	""	
"3P*"	3	""	"308248.91"	""	
"3P*"	5	""	"308317.29"	""	
"3S"	3	""	"309457.17"	""	
"1P*"	3	""	"310006.32"	""	
"1S"	1	""	"311721.51"	""	
"3P*"	1	""	"317794.26"	""	
"3P*"	3	""	"317796.51"	""	
"3P*"	5	""	"317801.30"	""	
"1P"	3	""	"319720.35"	""	
"3D"	3	""	"321411.31"	""	
"3D"	5	""	"321426.74"	""	
"3D"	7	""	"321450.05"	""	
"3F*"	5	""	"322003.68"	""	
"3F*"	7	""	"322009.58"	""	
"3F*"	9	""	"322017.97"	""	
"1P*"	3	""	"322404.20"	""	
"1F*"	7	""	"322702.02"	""	
"3D"	3	""	"323076.88"	""	
"3D"	5	""	"323101.36"	""	
"3D"	7	""	"323140.33"	""	
"1D"	5	""	"324212.49"	""	
"3S"	3	""	"327278.27"	""	
"3P"	1	""	"329685.38"	""	
"3P"	3	""	"329706.47"	""	
"3P"	5	""	"329743.57"	""	
"1D*"	5	""	"332691.28"	""	
"1D"	5	""	"333118.21"	""	
"3F*"	5	""	"333387.01"	""	
"3F*"	7	""	"333411.55"	""	
"3F*"	9	""	"333447.24"	""	
"3D*"	3	""	"337655.98"	""	
"3D*"	5	""	"337668.89"	""	
"3D*"	7	""	"337688.04"	""	
"1S"	1	""	"338514.33"	""	
"3S"	3	""	"339934.72"	""	
"3P*"	5	""	"340101.84"	""	
"3P*"	3	""	"340127.53"	""	
"3P*"	1	""	"340141.83"	""	
"1F*"	7	""	"341370.94"	""	
"1P*"	3	""	"343258.03"	""	
"3P*"	5	""	"344232.98"	""	
"3P*"	3	""	"344236.29"	""	
"3P*"	1	""	"344238.68"	""	
"1S"	1	""	"345095.43"	""	
"3D"	3	""	"345496.57"	""	
"3D"	5	""	"345496.72"	""	
"3D"	7	""	"345497.15"	""	
"3G"	7	""	"346579.21"	""	
"3G"	9	""	"346579.21"	""	
"1G"	9	""	"346579.31"	""	
"3G"	11	""	"346579.49"	""	
"1D"	5	""	"346658.34"	""	
"1P*"	3	""	"346712.73"	""	
"3F*"	5	""	"347151.89"	""	
"3F*"	7	""	"347153.26"	""	
"3F*"	9	""	"347155.41"	""	
"1F*"	7	""	"348859.99"	""	
"3S"	3	""	"354858.03"	""	
"3P*"	1	""	"357049.38"	""	
"3P*"	3	""	"357050.17"	""	
"3P*"	5	""	"357051.23"	""	
"1P*"	3	""	"357109.68"	""	
"3D"	3	""	"358097.78"	""	
"3D"	5	""	"358097.78"	""	
"3D"	7	""	"358097.78"	""	
"1G"	9	""	"358692.18"	""	
"3G"	7	""	"358692.2"	""	
"3G"	9	""	"358692.2"	""	
"3G"	11	""	"358692.4"	""	
"1D"	5	""	"358732.93"	""	
"1H*"	11	""	"358776.3"	""	
"3H*"	9	""	"358776.3"	""	
"3H*"	11	""	"358776.3"	""	
"3H*"	13	""	"358776.3"	""	
"3F*"	5	""	"358850.02"	""	
"3F*"	7	""	"358850.32"	""	
"3F*"	9	""	"358850.74"	""	
"1F*"	7	""	"359121.95"	""	
"3S"	3	""	"363613"	""	
"1P*"	3	""	"364896"	""	
"3D"	3	""	"365638"	""	
"3D"	5	""	"365638"	""	
"3D"	7	""	"365638"	""	
"3G"	7	""	"365998.4"	""	
"3G"	9	""	"365998.4"	""	
