Term	g	Prefix	Level (cm-1)	Suffix
"2[1/2]*"	1	""	"89529.3"	""	
"2[3/2]"	3	""	"89555.54"	""	
"2[5/2]"	7	""	"89621.09"	""	
"2[1/2]"	1	""	"89678.13"	""	
"2[5/2]*"	5	""	"89698.0"	""	
"2[1/2]*"	3	""	"89710.9"	""	
"2[5/2]*"	7	""	"89711.40"	""	
"2[1/2]*"	1	""	"89712.0"	""	
"2[3/2]*"	5	""	"89713.2"	""	
"2[3/2]*"	3	""	"89716.33"	""	
"2[7/2]*"	9	"["	"89769.57"	"]"	
"2[5/2]*"	5	""	"89772.89"	""	
"2[5/2]*"	7	""	"89773.2"	""	
"2[7/2]*"	7	""	"89779.1"	""	
"2[3/2]*"	3	""	"89783.08"	""	
"2[1/2]*"	3	""	"89783.4"	""	
"2[3/2]*"	5	""	"89783.8"	""	
"2[1/2]*"	1	""	"89785.7"	""	
"2[3/2]"	3	""	"89789.23"	""	
"2[5/2]*"	5	""	"89895.6"	""	
"2[1/2]*"	3	""	"89903.4"	""	
"2[5/2]*"	7	""	"89905.05"	""	
"2[1/2]*"	1	""	"89905.4"	""	
"2[3/2]*"	5	""	"89905.4"	""	
"2[3/2]*"	3	""	"89906.5"	""	
"2[5/2]*"	5	""	"89966.69"	""	
"2[3/2]*"	3	""	"89969.26"	""	
"2[5/2]*"	7	""	"89970."	""	
"2[7/2]*"	7	""	"89971.39"	""	
"2[3/2]*"	3	""	"89974.52"	""	
"2[1/2]*"	1	""	"89975.9"	""	
"2[1/2]*"	3	""	"89975.9"	""	
"2[3/2]*"	5	""	"89976.0"	""	
"2[1/2]*"	3	""	"90051.4"	""	
"2[5/2]*"	7	""	"90051.53"	""	
"2[1/2]*"	1	""	"90051.6"	""	
"2[3/2]*"	5	""	"90051.6"	""	
"2[3/2]*"	3	""	"90054.38"	""	
"2[5/2]*"	5	""	"90110.8"	""	
"2[5/2]*"	7	""	"90114.0"	""	
"2[3/2]*"	3	""	"90115.5"	""	
"2[7/2]*"	7	""	"90117.5"	""	
"2[1/2]*"	1	""	"90118.0"	""	
"2[3/2]*"	5	""	"90118.5"	""	
"2[1/2]*"	3	""	"90118.5"	""	
"2[3/2]*"	3	""	"90119.87"	""	
"2[1/2]*"	3	""	"90162.8"	""	
"2[5/2]*"	7	""	"90165.6"	""	
"2[1/2]*"	1	""	"90166.4"	""	
"2[3/2]*"	5	""	"90166.4"	""	
"2[3/2]*"	3	""	"90168.01"	""	
"2[5/2]*"	7	""	"90228.7"	""	
"2[5/2]*"	5	""	"90229.0"	""	
"2[3/2]*"	3	""	"90229.76"	""	
"2[1/2]*"	3	""	"90230."	""	
"2[1/2]*"	1	""	"90230."	""	
"2[3/2]*"	5	""	"90230.1"	""	
"2[7/2]*"	7	""	"90230.83"	""	
"2[3/2]*"	3	""	"90232.16"	""	
"2[3/2]*"	5	""	"90255.1"	""	
"2[1/2]*"	1	""	"90255.3"	""	
"2[5/2]*"	7	""	"90256.58"	""	
"2[1/2]*"	3	""	"90257.2"	""	
"2[3/2]*"	3	""	"90259.12"	""	
"2[5/2]*"	7	""	"90318.0"	""	
"2[5/2]*"	5	""	"90318.0"	""	
"2[3/2]*"	3	""	"90320.4"	""	
"2[7/2]*"	7	""	"90320.66"	""	
"2[3/2]*"	3	""	"90322.35"	""	
"2[3/2]*"	5	""	"90325"	""	
"2[1/2]*"	3	""	"90325"	""	
"2[1/2]*"	1	""	"90325"	""	
"2[1/2]*"	3	""	"90326.0"	""	
"2[5/2]*"	7	""	"90329.68"	""	
"2[1/2]*"	1	""	"90330.1"	""	
"2[3/2]*"	5	""	"90332.9"	""	
"2[5/2]*"	7	""	"90389.0"	""	
"2[1/2]*"	1	""	"90390.2"	""	
"2[3/2]*"	5	""	"90391.2"	""	
"2[5/2]*"	5	""	"90393.8"	""	
"2[5/2]*"	7	""	"90393.8"	""	
"2[7/2]*"	7	""	"90393.93"	""	
"2[3/2]*"	3	""	"90395.41"	""	
"2[3/2]*"	5	""	"90395.9"	""	
"2[1/2]*"	1	""	"90395.9"	""	
"2[1/2]*"	3	""	"90395.9"	""	
"2[5/2]*"	7	""	"90438.32"	""	
"2[5/2]*"	5	""	"90453.0"	""	
"2[5/2]*"	7	""	"90453.0"	""	
"2[7/2]*"	7	""	"90453.15"	""	
"2[3/2]*"	3	""	"90454.59"	""	
"2[5/2]*"	7	""	"90479.63"	""	
"2[5/2]*"	5	""	"90500.8"	""	
"2[7/2]*"	7	""	"90502.72"	""	
"2[5/2]*"	7	""	"90503.0"	""	
"2[3/2]*"	3	""	"90503.12"	""	
"2[5/2]*"	7	""	"90514.2"	""	
"2[5/2]*"	7	""	"90543.2"	""	
"2[5/2]*"	5	""	"90543.2"	""	
"2[7/2]*"	7	""	"90543.9"	""	
"2[3/2]*"	3	""	"90544.88"	""	
"2[5/2]*"	7	""	"90545.6"	""	
"2[5/2]*"	7	""	"90570.30"	""	
"2[5/2]*"	7	""	"90574.7"	""	
"2[5/2]*"	5	""	"90574.7"	""	
"2[7/2]*"	7	""	"90578.67"	""	
"2[3/2]*"	3	"["	"90579.0"	"]"	
"2[5/2]*"	7	""	"90592.47"	""	
"2[5/2]*"	5	""	"90605.1"	""	
"2[5/2]*"	7	""	"90605.1"	""	
"2[7/2]*"	7	""	"90609.6"	""	
"2[3/2]*"	3	""	"90610.1"	""	
"2[7/2]*"	7	""	"90634.5"	""	
"2[7/2]*"	7	""	"90656.0"	""	
"2[7/2]*"	7	"["	"90675.8"	"]"	
"2[7/2]*"	7	""	"90692.46"	""	
"2[7/2]*"	7	"["	"90707.8"	"]"	
"2[7/2]*"	7	"["	"90721.1"	"]"	
"2[7/2]*"	7	""	"90732.92"	""	
"2[7/2]*"	7	""	"90743.88"	""	
"2[7/2]*"	7	""	"90753.8"	""	
"Limit"		""	"90820.348"	""	
"Limit"		""	"90883.743"	""	
"5P"	3	""	"103541.69"	""	
"5P"	5	""	"103562.31"	""	
"5P"	7	""	"103587.18"	""	
"1D*"	5	"["	"103762"	"]"	
"3S*"	3	""	"105799.119"	""	
"3D*"	3	""	"115060"	""	
"3D*"	5	""	"115070"	""	
"3D*"	7	""	"115080"	""	
"1P*"	3	"["	"115209"	"]"	
"3D*"	3	""	"124511.9"	""	
"3D*"	5	""	"124577.7"	""	
"3D*"	7	""	"124621.4"	""	
"3D*"	3	""	"128182.9"	""	
"3D*"	5	""	"128260.0"	""	
"3D*"	7	""	"128301.2"	""	
"3D*"	3	""	"130068.1"	""	
"3D*"	7	""	"130155.2"	""	
"3D*"	3	""	"131159.4"	""	
"3D*"	7	""	"131216.8"	""	
"3D*"	3	""	"131834.3"	""	
"3D*"	7	""	"131880.8"	""	
"3D*"	3	""	"132263.1"	""	
"3D*"	7	""	"132325.5"	""	
"3D*"	3	""	"132573.8"	""	
"3D*"	7	""	"132632.5"	""	
"3D*"	3	""	"132804.4"	""	
"3D*"	7	""	"132857.9"	""	
"3D*"	3	""	"132972.2"	""	
"3D*"	7	""	"133023.9"	""	
"3D*"	3	""	"133097.8"	""	
"3D*"	7	""	"133156.7"	""	
"3D*"	7	""	"133256.0"	""	
