Term	g	Prefix	Level (cm-1)	Suffix
"3P"	1	""	"0.0000000"	""	
"3P"	3	""	"16.4167130"	""	
"3P"	5	""	"43.4134567"	""	
"1D"	5	""	"10192.657"	""	
"1S"	1	""	"21648.030"	""	
"5S*"	5	""	"33735.121"	""	
"3P*"	1	""	"60333.4476"	""	
"3P*"	3	""	"60352.6584"	""	
"3P*"	5	""	"60393.1693"	""	
"1P*"	3	""	"61981.83211"	""	
"3D*"	7	""	"64086.96961"	""	
"3D*"	3	""	"64089.8990"	""	
"3D*"	5	""	"64090.99351"	""	
"1P"	3	""	"68856.35208"	""	
"3D"	3	""	"69689.49393"	""	
"3D"	5	""	"69710.68728"	""	
"3D"	7	""	"69744.05213"	""	
"3S"	3	""	"70743.97227"	""	
"3P"	1	""	"71352.54344"	""	
"3P"	3	""	"71364.93596"	""	
"3P"	5	""	"71385.40992"	""	
"1D"	5	""	"72610.73530"	""	
"1S"	1	""	"73975.92785"	""	
"3P*"	3	""	"75254.0017"	""	
"3P*"	5	""	"75255.29373"	""	
"3P*"	1	""	"75256.1696"	""	
"1D*"	5	""	"77679.83311"	""	
"3P*"	1	""	"78105.00058"	""	
"3P*"	3	""	"78116.77336"	""	
"3P*"	5	""	"78148.10824"	""	
"3F*"	5	""	"78199.09144"	""	
"3F*"	7	""	"78215.54012"	""	
"3F*"	9	""	"78249.96676"	""	
"3D*"	3	""	"78293.51263"	""	
"3D*"	5	""	"78307.64625"	""	
"3D*"	7	""	"78318.26602"	""	
"1P*"	3	""	"78340.29782"	""	
"1F*"	7	""	"78529.64651"	""	
"1P*"	3	""	"78731.2956"	""	
"3P*"	5	""	"79310.86822"	""	
"3P*"	3	""	"79318.8093"	""	
"3P*"	1	""	"79323.1883"	""	
"1P"	3	""	"80562.88550"	""	
"3D"	3	""	"80782.44916"	""	
"3D"	5	""	"80801.28887"	""	
"3D"	7	""	"80834.62491"	""	
"3S"	3	""	"81105.06418"	""	
"3P"	1	""	"81311.0544"	""	
"3P"	3	""	"81325.81077"	""	
"3P"	5	""	"81344.05485"	""	
"1D"	5	""	"81769.87089"	""	
"1S"	1	""	"82251.82041"	""	
"1D*"	5	""	"83497.58690"	""	
"3P*"	1	""	"83740.0964"	""	
"3F*"	5	""	"83747.43248"	""	
"3P*"	3	""	"83752.4388"	""	
"3F*"	7	""	"83761.27417"	""	
"3P*"	5	""	"83791.0880"	""	
"3F*"	9	""	"83798.61582"	""	
"3D*"	3	""	"83820.1576"	""	
"3D*"	5	""	"83838.0728"	""	
"3D*"	7	""	"83848.8700"	""	
"1P*"	3	""	"83877.305"	""	
"2[5/2]"	7	""	"83919.66322"	""	
"2[5/2]"	5	""	"83919.77375"	""	
"2[7/2]"	7	""	"83926.22434"	""	
"2[7/2]"	9	""	"83926.42382"	""	
"1F*"	7	""	"83947.2231"	""	
"2[7/2]"	7	""	"83986.22212"	""	
"2[7/2]"	9	""	"83986.4926"	""	
"2[5/2]"	7	""	"84013.27526"	""	
"2[5/2]"	5	""	"84013.4311"	""	
"2[9/2]"	11	""	"84015.87795"	""	
"2[9/2]"	9	""	"84016.2748"	""	
"1P*"	3	""	"84032.1471"	""	
"2[3/2]"	3	""	"84036.3320"	""	
"2[3/2]"	5	""	"84036.4454"	""	
"3P*"	5	""	"84103.1238"	""	
"3P*"	3	""	"84116.1152"	""	
"3P*"	1	""	"84121.2260"	""	
"1P"	3	""	"84851.4691"	""	
"3D"	3	""	"84935.362"	""	
"3D"	5	""	"84950.41"	""	
"3D"	7	""	"84985.0033"	""	
"3P"	1	""	"85169.66"	""	
"3P"	3	""	"85188.9670"	""	
"3P"	5	""	"85203.6756"	""	
"1D"	5	""	"85399.833"	""	
"1S"	1	""	"85625.190"	""	
"1D*"	5	""	"86185.2332"	""	
"3F*"	5	""	"86317.69"	""	
"3P*"	1	""	"86321.97"	""	
"3F*"	7	""	"86327.1863"	""	
"3P*"	3	""	"86331.651"	""	
"3D*"	3	""	"86362.54"	""	
"3F*"	9	""	"86369.385"	""	
"3P*"	5	""	"86369.622"	""	
"3D*"	5	""	"86389.425"	""	
"3D*"	7	""	"86397.83"	""	
"2[5/2]"	7	""	"86412.0301"	""	
"2[5/2]"	5	""	"86412.1310"	""	
"2[7/2]"	7	""	"86414.5662"	""	
"2[7/2]"	9	""	"86414.7662"	""	
"1P*"	3	""	"86416.575"	""	
"2[7/2]*"	7	""	"86426.7910"	""	
"2[7/2]*"	9	""	"86426.7917"	""	
"2[9/2]*"	11	""	"86427.2556"	""	
"2[9/2]*"	9	""	"86427.25603"	""	
"1F*"	7	""	"86449.208"	""	
"2[7/2]"	7	""	"86469.5436"	""	
"2[7/2]"	9	""	"86469.7252"	""	
"2[5/2]"	7	""	"86482.6727"	""	
"2[5/2]"	5	""	"86482.794"	""	
"2[9/2]*"	9	""	"86485.5912"	""	
"2[9/2]*"	11	""	"86485.5929"	""	
"2[9/2]"	11	""	"86488.0240"	""	
"2[9/2]"	9	""	"86488.3559"	""	
"2[7/2]*"	7	""	"86489.6298"	""	
"2[7/2]*"	9	""	"86489.6302"	""	
"1P*"	3	""	"86491.441"	""	
"2[11/2]*"	11	""	"86494.8507"	""	
"2[11/2]*"	13	""	"86494.85415"	""	
"2[5/2]*"	5	""	"86498.4194"	""	
"2[5/2]*"	7	""	"86498.4202"	""	
"2[3/2]"	3	""	"86498.523"	""	
"2[3/2]"	5	""	"86498.753"	""	
"3P*"	5	""	"86506.7138"	""	
"3P*"	3	""	"86519.506"	""	
"3P*"	1	""	"86523.19"	""	
"1P"	3	""	"86912.89"	""	
"3D"	3	""	"86956.176"	""	
"3D"	5	""	"86965.494"	""	
"3D"	7	""	"87002.31"	""	
"3P"	1	""	"87077.402"	""	
"3P"	3	""	"87103.134"	""	
"3P"	5	""	"87113.239"	""	
"1D"	5	""	"87218.275"	""	
"1S"	1	""	"87341.05"	""	
"1D*"	5	""	"87633.77"	""	
"3F*"	5	""	"87708.22"	""	
"3P*"	1	""	"87711.39"	""	
"3F*"	7	""	"87713.42"	""	
"3P*"	3	""	"87718.583"	""	
"3D*"	3	""	"87735.33"	""	
"3P*"	5	""	"87753.763"	""	
"3F*"	9	""	"87760.63"	""	
"2[5/2]"	7	""	"87762.15"	""	
"2[5/2]"	5	""	"87762.23"	""	
"2[7/2]"	9	""	"87763.14"	""	
"2[7/2]"	7	""	"87763.21"	""	
"2[7/2]*"	9	""	"87769.960"	""	
"2[7/2]*"	7	""	"87769.963"	""	
"2[9/2]*"	11	""	"87770.2889"	""	
"2[9/2]*"	9	""	"87770.2889"	""	
"2[9/2]"	9	""	"87771.358"	""	
"2[9/2]"	11	""	"87771.359"	""	
"2[11/2]"	11	""	"87771.366"	""	
"2[11/2]"	13	""	"87771.366"	""	
"3D*"	5	""	"87773.113"	""	
"3D*"	7	""	"87777.18"	""	
"1P*"	3	""	"87789.646"	""	
"1F*"	7	""	"87806.95"	""	
"2[7/2]"	7	""	"87819.96"	""	
"2[7/2]"	9	""	"87820.05"	""	
"2[5/2]"	7	""	"87826.99"	""	
"2[5/2]"	5	""	"87827.043"	""	
"2[9/2]*"	9	""	"87829.458"	""	
"2[9/2]*"	11	""	"87829.470"	""	
"1P*"	3	""	"87830.18"	""	
"2[9/2]"	11	"["	"87831.3"	"]"	
"2[9/2]"	9	"["	"87831.5"	"]"	
"2[7/2]*"	7	""	"87832.341"	""	
"2[7/2]*"	9	""	"87832.348"	""	
"3P*"	5	""	"87832.568"	""	
"2[11/2]"	11	""	"87833.091"	""	
"2[11/2]"	13	""	"87833.093"	""	
"2[9/2]"	11	""	"87833.962"	""	
"2[9/2]"	9	""	"87833.962"	""	
"2[11/2]*"	13	""	"87835.6391"	""	
"2[11/2]*"	11	""	"87835.642"	""	
"2[13/2]"	13	""	"87836.050"	""	
"2[13/2]"	15	""	"87836.053"	""	
"2[7/2]"	7	""	"87837.135"	""	
"2[7/2]"	9	""	"87837.136"	""	
"2[3/2]"	3	""	"87837.76"	""	
"2[3/2]"	5	""	"87837.76"	""	
"2[5/2]*"	7	""	"87837.808"	""	
"2[5/2]*"	5	""	"87837.808"	""	
"3P*"	3	""	"87843.93"	""	
"3P*"	1	""	"87845.1"	""	
"1P"	3	""	"88061.34"	""	
"3D"	3	""	"88092.00"	""	
"3D"	5	""	"88096.06"	""	
"3D"	7	""	"88135.84"	""	
"3P"	1	""	"88159.93"	""	
"3P"	3	""	"88192.34"	""	
"3P"	5	""	"88198.20"	""	
"1D"	5	""	"88260.38"	""	
"1S"	1	""	"88333.99"	""	
"2[5/2]*"	5	""	"88498.63"	""	
"2[3/2]*"	5	""	"88543.5"	""	
"2[1/2]*"	1	""	"88543.78"	""	
"2[5/2]*"	7	""	"88545.02"	""	
"2[1/2]*"	3	""	"88549.095"	""	
"2[3/2]*"	3	""	"88558.62"	""	
"2[5/2]"	7	""	"88574.89"	""	
"2[5/2]"	5	""	"88574.90"	""	
"2[7/2]"	9	""	"88575.36"	""	
"2[7/2]"	7	""	"88575.36"	""	
"2[3/2]*"	5	""	"88584.28"	""	
"2[7/2]*"	9	"["	"88596.17"	"]"	
"2[5/2]*"	5	""	"88604.76"	""	
"2[5/2]*"	7	""	"88606.32"	""	
"2[3/2]*"	3	""	"88615.02"	""	
"2[7/2]*"	7	""	"88625.02"	""	
"2[7/2]"	7	""	"88634.03"	""	
"2[7/2]"	9	""	"88634.12"	""	
"2[5/2]"	7	""	"88638.32"	""	
"2[5/2]"	5	""	"88638.32"	""	
"2[3/2]*"	3	""	"88638.99"	""	
"2[3/2]*"	5	""	"88639.1"	""	
"2[9/2]"	11	"["	"88641.4"	"]"	
"2[9/2]"	9	"["	"88641.5"	"]"	
"2[3/2]"	5	""	"88645.36"	""	
"2[3/2]"	3	""	"88645.37"	""	
"2[1/2]*"	3	""	"88646.9"	""	
"2[1/2]*"	1	""	"88648.4"	""	
"2[3/2]"	3	""	"88767.03"	""	
"2[1/2]"	5	"["	"88789"	"]"	
"2[1/2]"	3	""	"88790.86"	""	
"2[5/2]"	7	""	"88836.15"	""	
"2[3/2]"	5	""	"88874.00"	""	
"2[5/2]"	5	""	"88913.57"	""	
"2[1/2]"	1	""	"88960.65"	""	
"2[5/2]*"	5	""	"89054.17"	""	
"2[3/2]*"	5	""	"89081.3"	""	
"2[1/2]*"	1	""	"89081.64"	""	
"2[5/2]*"	7	""	"89081.96"	""	
"2[1/2]*"	3	""	"89085.39"	""	
"2[3/2]*"	3	""	"89091.25"	""	
"2[5/2]"	5	""	"89101.81"	""	
"2[5/2]"	7	""	"89101.83"	""	
"2[7/2]"	9	""	"89101.87"	""	
"2[7/2]"	7	""	"89101.87"	""	
"2[3/2]*"	5	""	"89121.9"	""	
"2[7/2]*"	9	"["	"89136.58"	"]"	
"2[5/2]*"	5	""	"89142.68"	""	
"2[5/2]*"	7	""	"89144.03"	""	
"2[3/2]*"	3	""	"89149.35"	""	
"2[7/2]*"	7	""	"89155.71"	""	
"2[7/2]"	9	""	"89162.15"	""	
"2[7/2]"	7	""	"89162.15"	""	
"2[3/2]*"	5	""	"89162.6"	""	
"2[3/2]*"	3	""	"89164.74"	""	
"2[5/2]"	7	"["	"89164.92"	"]"	
"2[5/2]"	5	"["	"89164.92"	"]"	
"2[9/2]"	11	"["	"89167.2"	"]"	
"2[9/2]"	9	"["	"89167.2"	"]"	
"2[1/2]*"	1	""	"89169.2"	""	
"2[3/2]"	3	"["	"89169.93"	"]"	
"2[3/2]"	5	"["	"89169.93"	"]"	
"2[1/2]*"	3	""	"89170.01"	""	
"2[3/2]"	3	""	"89232.43"	""	
"2[5/2]"	7	""	"89299.13"	""	
"2[5/2]"	5	""	"89350.11"	""	
"2[1/2]"	1	""	"89381.63"	""	
"2[5/2]*"	5	""	"89431.49"	""	
"2[3/2]*"	5	""	"89448.6"	""	
"2[1/2]*"	1	""	"89448.6"	""	
"2[5/2]*"	7	""	"89449.54"	""	
"2[1/2]*"	3	""	"89451.85"	""	
"2[3/2]*"	3	""	"89456.15"	""	
"2[7/2]*"	9	"["	"89505.99"	"]"	
"2[5/2]*"	5	""	"89510.46"	""	
"2[5/2]*"	7	""	"89513.4"	""	
"2[3/2]*"	3	""	"89514.69"	""	
"2[7/2]*"	7	""	"89519.15"	""	
"2[3/2]*"	5	""	"89523.4"	""	
"2[3/2]*"	3	""	"89525.56"	""	
"2[1/2]*"	3	""	"89527.1"	""	
