Term	g	Prefix	Level (cm-1)	Suffix
"2G"	10	""	"194422.09"	""	
"2H*"	10	"["	"194423.18"	"]"	
"2H*"	12	"["	"194423.18"	"]"	
"2I"	12	"["	"194423.58"	"]"	
"2I"	14	"["	"194423.58"	"]"	
"2K*"	14	"["	"194423.74"	"]"	
"2K*"	16	"["	"194423.74"	"]"	
"2D"	4	""	"194640.2"	""	
"2D"	6	""	"194640.2"	""	
"2F*"	6	"["	"194705.51"	"]"	
"2F*"	8	"["	"194705.51"	"]"	
"2G"	8	"["	"194710.88"	"]"	
"2G"	10	"["	"194710.88"	"]"	
"2H*"	10	"["	"194711.94"	"]"	
"2H*"	12	"["	"194711.94"	"]"	
"2I"	14	"["	"194712.27"	"]"	
"2I"	12	"["	"194712.27"	"]"	
"2K*"	16	"["	"194712.40"	"]"	
"2K*"	14	"["	"194712.40"	"]"	
"4F*"	4	""	"195752.62"	""	
"4F*"	6	""	"195765.88"	""	
"4F*"	8	""	"195785.75"	""	
"4F*"	10	""	"195813.62"	""	
"4D*"	2	""	"196557.95"	""	
"4D*"	4	""	"196563.41"	""	
"4D*"	6	""	"196571.82"	""	
"4D*"	8	""	"196581.94"	""	
"Limit"		""	"196663.31"	""	
"2D*"	4	""	"198425.48"	""	
"2D*"	6	""	"198436.26"	""	
"4P*"	6	""	"198844.00"	""	
"4P*"	4	""	"198865.27"	""	
"4P*"	2	""	"198879.03"	""	
"2F*"	6	""	"199941.27"	""	
"2F*"	8	""	"199983.13"	""	
"2P*"	4	""	"202179.86"	""	
"2P*"	2	""	"202204.56"	""	
"4P*"	2	""	"209552.39"	""	
"4P*"	4	""	"209576.49"	""	
"4P*"	6	""	"209622.32"	""	
"2P"	2	""	"214404.34"	""	
"2P"	4	""	"214429.94"	""	
"4D"	2	""	"214759.76"	""	
"4D"	4	""	"214772.83"	""	
"4D"	6	""	"214795.28"	""	
"4D"	8	""	"214829.74"	""	
"4S"	4	""	"215767.79"	""	
"4P"	2	""	"216362.72"	""	
"4P"	4	""	"216379.60"	""	
"4P"	6	""	"216400.57"	""	
"2D"	4	""	"216877"	""	
"2D"	6	""	"216923"	""	
"2S"	2	""	"218402"	""	
"4F*"	4	""	"219557.50"	""	
"4F*"	6	""	"219570.20"	""	
"4F*"	8	""	"219590.79"	""	
"4F*"	10	""	"219619.86"	""	
"4D*"	2	""	"220125.53"	""	
"4D*"	4	""	"220130.86"	""	
"4D*"	6	""	"220139.42"	""	
"4D*"	8	""	"220150.51"	""	
"2D*"	4	""	"220601.47"	""	
"2D*"	6	""	"220614.45"	""	
"4P*"	6	""	"220811.68"	""	
"4P*"	4	""	"220832.17"	""	
"4P*"	2	""	"220845.09"	""	
"2F"	6	""	"221088.89"	""	
"4F"	4	""	"221093.94"	""	
"4F"	8	""	"221097.91"	""	
"4F"	6	""	"221099.16"	""	
"2F"	8	""	"221105.73"	""	
"4F"	10	""	"221109.74"	""	
"2F*"	6	""	"221460.89"	""	
"2F*"	8	""	"221503.27"	""	
"4G"	6	""	"221544.80"	""	
"4G"	8	""	"221554.04"	""	
"4G"	10	""	"221575.56"	""	
"2G"	8	""	"221587.20"	""	
"4G"	12	""	"221604.86"	""	
"2G"	10	""	"221625.69"	""	
"4D"	8	""	"221698.46"	""	
"4D"	6	""	"221707.69"	""	
"4D"	4	""	"221729.73"	""	
"2D"	6	""	"221729.86"	""	
"4D"	2	""	"221742.84"	""	
"2D"	4	""	"221752.33"	""	
"2P*"	4	""	"222258.6"	""	
"2P*"	2	""	"222285.5"	""	
"4P*"	2	""	"225748.3"	""	
"4P*"	4	""	"225771.76"	""	
"4P*"	6	""	"225817.93"	""	
"2P"	2	""	"227881.25"	""	
"2P"	4	""	"227907.67"	""	
"4D"	2	""	"228178.6"	""	
"4D"	4	""	"228191.9"	""	
"4D"	6	""	"228211.7"	""	
"4D"	8	""	"228246.84"	""	
"4S"	4	""	"228656.82"	""	
"2D"	4	""	"228797"	""	
"2D"	6	""	"228839"	""	
"4P"	2	"["	"228932.5"	"]"	
"4P"	4	""	"228946.9"	""	
"4P"	6	""	"228967.46"	""	
"2S"	2	""	"229520"	""	
"4F*"	4	""	"230419"	""	
"4F*"	6	""	"230433"	""	
"4F*"	8	""	"230458.4"	""	
"4F*"	10	""	"230485.36"	""	
"4D*"	2	""	"230749.2"	""	
"4D*"	4	""	"230754.8"	""	
"4D*"	6	""	"230762.7"	""	
"4D*"	8	""	"230774.7"	""	
"4P*"	6	""	"231052.9"	""	
"4P*"	4	""	"231072.2"	""	
"4P*"	2	""	"231086.5"	""	
"2F"	6	""	"231209.30"	""	
"4F"	4	""	"231212.3"	""	
"4F"	6	""	"231216.81"	""	
"4F"	8	""	"231217.13"	""	
"2F"	8	""	"231225.09"	""	
"4F"	10	""	"231228.86"	""	
"4G"	6	""	"231438.57"	""	
"4G"	8	""	"231451.31"	""	
"4G"	10	""	"231473.41"	""	
"2G"	8	""	"231481.0"	""	
"4G"	12	""	"231502.34"	""	
"2G"	10	""	"231519.2"	""	
"4D"	8	""	"231523.87"	""	
"4D"	6	""	"231528.35"	""	
"4D"	4	""	"231551.2"	""	
"2D"	6	""	"231551.5"	""	
"4D"	2	""	"231565.9"	""	
"2D"	4	""	"231570.4"	""	
"2P"	2	""	"232539"	""	
"2P"	4	""	"232550"	""	
"4P*"	2	""	"233670.9"	""	
"4P*"	4	""	"233693.3"	""	
"4P*"	6	""	"233740.64"	""	
"2D"	4	""	"234017"	""	
"2D"	6	""	"234032"	""	
"2P"	2	""	"234623"	""	
"2P"	4	""	"234642"	""	
"4D"	2	""	"234997.3"	""	
"4D"	4	""	"235010.6"	""	
"4D"	6	""	"235030.4"	""	
"4D"	8	""	"235066.6"	""	
"2S"	2	""	"235156"	""	
"4P"	2	"["	"235430"	"]"	
"4P"	4	""	"235444.1"	""	
"4P"	6	""	"235472.2"	""	
"2D"	4	""	"235741"	""	
"2D"	6	""	"235779"	""	
"4D*"	2	""	"236417"	""	
"4D*"	4	""	"236422"	""	
"4D*"	6	""	"236431"	""	
"4D*"	8	""	"236444.1"	""	
"4P*"	6	""	"236577.7"	""	
"4P*"	4	""	"236596.8"	""	
"4P*"	2	""	"236608.9"	""	
"2F"	6	""	"236692"	""	
"4F"	4	""	"236692.5"	""	
"4F"	6	""	"236697.9"	""	
"4F"	8	""	"236703"	""	
"2F"	8	""	"236706.3"	""	
"4F"	10	""	"236707.83"	""	
"4G"	6	""	"236814.3"	""	
"4G"	8	""	"236823.2"	""	
"4G"	10	""	"236842.3"	""	
"2G"	8	""	"236856.6"	""	
"4D"	8	""	"236877.8"	""	
"4G"	12	""	"236881.1"	""	
"2G"	10	""	"236889.7"	""	
"4P*"	2	""	"238107"	""	
"4P*"	4	""	"238130"	""	
"4P*"	6	""	"238177"	""	
"2P"	2	""	"238859"	""	
"2P"	4	""	"238886"	""	
"2D"	4	""	"239285"	""	
"2D"	6	""	"239329"	""	
"4D*"	2	""	"239843"	""	
"4D*"	4	""	"239847"	""	
"4P*"	6	""	"239848"	""	
"4D*"	6	""	"239854"	""	
"4P*"	4	""	"239866"	""	
"4D*"	8	""	"239872"	""	
"4P*"	2	""	"239877"	""	
"2P"	2	""	"241378"	""	
"2P"	4	""	"241404"	""	
"2D"	4	""	"241626"	""	
"2D"	6	""	"241670"	""	
"4D*"	2	""	"242033"	""	
"4D*"	4	""	"242036"	""	
"4P*"	6	""	"242039"	""	
"4D*"	6	""	"242040"	""	
"4P*"	4	""	"242055"	""	
"4P*"	2	""	"242064"	""	
"4D*"	8	""	"242064"	""	
"2P"	2	""	"243068"	""	
"2P"	4	""	"243093"	""	
"2D"	4	""	"243218"	""	
"2D"	6	""	"243262"	""	
"4D*"	2	""	"243541"	""	
"4D*"	4	""	"243543"	""	
"4D*"	6	""	"243546"	""	
"4P*"	6	""	"243549"	""	
"4P*"	4	""	"243562"	""	
"4P*"	2	""	"243570"	""	
"4D*"	8	""	"243576"	""	
"2P"	2	""	"260860"	""	
"2P"	4	""	"260890"	""	
"4D*"	2	""	"267649"	""	
"4D*"	4	""	"267664"	""	
"4D*"	6	""	"267689"	""	
"4D*"	8	""	"267723"	""	
"4P*"	2	""	"269614"	""	
"4P*"	4	""	"269629"	""	
"4P*"	6	""	"269654"	""	
"2D"	4	""	"270400"	""	
"2D"	6	""	"270400"	""	
"2D"	4	""	"278140"	""	
"2D"	6	""	"278140"	""	
"2S"	2	""	"278710"	""	
"2P"	4	""	"281760"	""	
"2P"	2	""	"281800"	""	
"2D"	4	""	"285080"	""	
"2D"	6	""	"285080"	""	
"2S"	2	""	"285100"	""	
"2D"	4	""	"286680"	""	
"2D"	6	""	"286700"	""	
"2D"	4	""	"288790"	""	
"2D"	6	""	"288790"	""	
"2S"	2	""	"288800"	""	
"2D"	4	""	"291290"	""	
"2D"	6	""	"291290"	""	
"2S"	2	""	"291300"	""	
"2D"	4	""	"306600"	""	
"2D"	6	""	"306620"	""	
"2P"	2	""	"311900"	""	
"2P"	4	""	"311960"	""	
"2D"	4	""	"316610"	""	
"2D"	6	""	"316620"	""	
"2D"	4	""	"319440"	""	
"2D"	6	""	"319440"	""	
"2S"	2	""	"321500"	""	
"2P"	2	""	"373950"	""	
"2D"	4	""	"373960"	""	
"2D"	6	""	"373960"	""	
"2P"	4	""	"373960"	""	
"2D"	4	""	"385250"	""	
"2D"	6	""	"385250"	""	
"2D"	4	""	"2322360"	""	
"2D"	6	""	"2322360"	""	
"2P"	2	""	"2326190"	""	
"2P"	4	""	"2326280"	""	
"2S"	2	""	"2338290"	""	
"4S*"	4	""	"2359520"	""	
"4D*"	2	""	"2360540"	""	
"4D*"	4	""	"2360540"	""	
"4D*"	6	""	"2360540"	""	
"4D*"	8	""	"2360540"	""	
"4P*"	2	""	"2377500"	""	
"4P*"	4	""	"2377500"	""	
"4P*"	6	""	"2377500"	""	
