Term	g	Prefix	Level (cm-1)	Suffix
"2P*"	2	""	"0.000000"	""	
"2P*"	4	""	"63.395090"	""	
"4P"	2	""	"43002.8"	""	
"4P"	4	""	"43024.9"	""	
"4P"	6	""	"43053.2"	""	
"2D"	6	""	"74930.077"	""	
"2D"	4	""	"74932.602"	""	
"2S"	2	""	"96493.646"	""	
"2P"	2	""	"110624.18"	""	
"2P"	4	""	"110665.59"	""	
"2S"	2	""	"116537.648"	""	
"2P*"	2	""	"131724.382"	""	
"2P*"	4	""	"131735.528"	""	
"4S*"	4	""	"142026.24"	""	
"2D"	4	""	"145549.25"	""	
"2D"	6	""	"145550.70"	""	
"2D*"	6	""	"150461.58"	""	
"2D*"	4	""	"150466.70"	""	
"2S"	2	""	"157234.05"	""	
"2P*"	2	""	"162517.90"	""	
"2P*"	4	""	"162524.56"	""	
"4P*"	2	""	"166967.16"	""	
"4P*"	4	""	"166990.74"	""	
"4P*"	6	""	"167035.73"	""	
"2D"	4	""	"168124.17"	""	
"2D"	6	""	"168124.37"	""	
"2P*"	2	""	"168729.51"	""	
"2P*"	4	""	"168748.26"	""	
"2F*"	6	""	"168978.24"	""	
"2F*"	8	""	"168978.42"	""	
"2S"	2	""	"173347.94"	""	
"2P*"	2	""	"175287.36"	""	
"2P*"	4	""	"175294.74"	""	
"2P*"	2	""	"177774.55"	""	
"2P*"	4	""	"177793.52"	""	
"2D"	4	""	"178495.29"	""	
"2D"	6	""	"178495.54"	""	
"2F*"	6	""	"178956.38"	""	
"2F*"	8	""	"178956.46"	""	
"2G"	8	""	"179073.02"	""	
"2G"	10	""	"179073.09"	""	
"2S"	2	""	"181264.23"	""	
"4D"	2	""	"181696.69"	""	
"4D"	4	""	"181711.05"	""	
"4D"	6	""	"181736.06"	""	
"4D"	8	""	"181772.40"	""	
"2P"	2	""	"182023.89"	""	
"2P"	4	""	"182043.39"	""	
"2P*"	2	""	"182992.91"	""	
"2P*"	4	""	"182993.12"	""	
"2D"	4	""	"184074.67"	""	
"2D"	6	""	"184075.36"	""	
"2F*"	6	""	"184376.15"	""	
"2F*"	8	""	"184376.19"	""	
"2G"	8	""	"184449.50"	""	
"2G"	10	""	"184449.54"	""	
"2H*"	10	"["	"184464.11"	"]"	
"2H*"	12	"["	"184464.11"	"]"	
"4S"	4	""	"184691.00"	""	
"2S"	2	""	"185732.93"	""	
"4P"	2	""	"186427.37"	""	
"4P"	4	""	"186443.71"	""	
"4P"	6	""	"186466.03"	""	
"2P*"	2	""	"186745.36"	""	
"2P*"	4	""	"186746.33"	""	
"2D"	4	""	"187353.4"	""	
"2D"	6	""	"187353.4"	""	
"2F*"	6	""	"187641.88"	""	
"2F*"	8	""	"187641.90"	""	
"2G"	8	""	"187691.33"	""	
"2G"	10	""	"187691.36"	""	
"2H*"	10	"["	"187700.90"	"]"	
"2H*"	12	"["	"187700.90"	"]"	
"2I"	12	"["	"187703.78"	"]"	
"2I"	14	"["	"187703.78"	"]"	
"2S"	2	"["	"188504.50"	"]"	
"2D"	4	""	"188581.26"	""	
"2D"	6	""	"188615.01"	""	
"2F*"	6	""	"189761.84"	""	
"2F*"	8	""	"189761.85"	""	
"2G"	8	""	"189795.17"	""	
"2G"	10	""	"189795.18"	""	
"2H*"	10	""	"189801.92"	""	
"2H*"	12	""	"189801.93"	""	
"2I"	12	"["	"189803.73"	"]"	
"2I"	14	"["	"189803.73"	"]"	
"2K*"	14	"["	"189804.46"	"]"	
"2K*"	16	"["	"189804.46"	"]"	
"2D"	4	""	"189808"	""	
"2D"	6	""	"189812"	""	
"2S"	2	"["	"190341.4"	"]"	
"2D"	4	""	"191210.0"	""	
"2D"	6	""	"191210.5"	""	
"2F*"	6	""	"191213.28"	""	
"2F*"	8	""	"191213.29"	""	
"2G"	8	""	"191237.24"	""	
"2G"	10	""	"191237.25"	""	
"2H*"	10	"["	"191242.01"	"]"	
"2H*"	12	"["	"191242.01"	"]"	
"2I"	12	"["	"191243.45"	"]"	
"2I"	14	"["	"191243.45"	"]"	
"2K*"	14	"["	"191243.99"	"]"	
"2K*"	16	"["	"191243.99"	"]"	
"2D"	4	""	"192235.3"	""	
"2D"	6	""	"192235.5"	""	
"2F*"	6	"["	"192251.08"	"]"	
"2F*"	8	"["	"192251.08"	"]"	
"2G"	8	""	"192268.75"	""	
"2G"	10	""	"192268.76"	""	
"2H*"	10	""	"192272.36"	""	
"2H*"	12	""	"192272.37"	""	
"2I"	12	"["	"192273.28"	"]"	
"2I"	14	"["	"192273.28"	"]"	
"2K*"	14	"["	"192273.68"	"]"	
"2K*"	16	"["	"192273.68"	"]"	
"2D"	4	""	"192995.6"	""	
"2D"	6	""	"192995.7"	""	
"2F*"	6	""	"193018.08"	""	
"2F*"	8	""	"193018.08"	""	
"2G"	8	""	"193031.68"	""	
"2G"	10	""	"193031.69"	""	
"2H*"	10	"["	"193034.41"	"]"	
"2H*"	12	"["	"193034.41"	"]"	
"2I"	12	"["	"193035.22"	"]"	
"2I"	14	"["	"193035.22"	"]"	
"2K*"	14	"["	"193035.53"	"]"	
"2K*"	16	"["	"193035.53"	"]"	
"2D"	4	""	"193596.1"	""	
"2D"	6	""	"193596.2"	""	
"2F*"	6	""	"193601.23"	""	
"2F*"	8	""	"193601.23"	""	
"2G"	8	""	"193612.15"	""	
"2G"	10	""	"193612.15"	""	
"2H*"	10	"["	"193614.11"	"]"	
"2H*"	12	"["	"193614.11"	"]"	
"2I"	12	"["	"193614.74"	"]"	
"2I"	14	"["	"193614.74"	"]"	
"2K*"	14	"["	"193614.98"	"]"	
"2K*"	16	"["	"193614.98"	"]"	
"2F*"	6	"["	"194055.41"	"]"	
"2F*"	8	"["	"194055.41"	"]"	
"2G"	8	"["	"194063.62"	"]"	
"2G"	10	"["	"194063.62"	"]"	
"2H*"	10	"["	"194065.23"	"]"	
"2H*"	12	"["	"194065.23"	"]"	
"2I"	12	"["	"194065.74"	"]"	
"2I"	14	"["	"194065.74"	"]"	
"2K*"	14	"["	"194065.93"	"]"	
"2K*"	16	"["	"194065.93"	"]"	
"2F*"	6	""	"194413.79"	""	
"2F*"	8	""	"194413.80"	""	
"2G"	8	""	"194422.09"	""	
